Date,Measure,Count,Reporting,Missing
2020-09-06,Staff.Confirmed,26030,49,"Alaska, Arkansas, Virginia, District of Columbia"
2020-09-13,Staff.Confirmed,28046,51,"Arkansas, District of Columbia"
2020-09-20,Staff.Confirmed,29118,51,"Arkansas, District of Columbia"
2020-09-27,Staff.Confirmed,30333,51,"Arkansas, District of Columbia"
2020-10-04,Staff.Confirmed,31564,51,"Arkansas, Montana"
2020-10-11,Staff.Confirmed,32810,51,"Alaska, Arkansas"
2020-10-18,Staff.Confirmed,35192,52,Arkansas
2020-10-25,Staff.Confirmed,37805,52,Arkansas
2020-11-01,Staff.Confirmed,40108,52,Arkansas
2020-11-08,Staff.Confirmed,42039,49,"Arkansas, Colorado, Nebraska, Virginia"
2020-11-15,Staff.Confirmed,45561,50,"Arkansas, Nebraska, Virginia"
2020-11-22,Staff.Confirmed,52523,51,"Maine, ICE"
2020-11-29,Staff.Confirmed,58507,52,ICE
2020-12-06,Staff.Confirmed,62066,50,"Arkansas, Nebraska, ICE"
2020-12-13,Staff.Confirmed,68378,49,"Arkansas, Connecticut, Nebraska, ICE"
2020-12-20,Staff.Confirmed,75061,50,"Arkansas, Nebraska, ICE"
2020-12-27,Staff.Confirmed,80246,51,"Arkansas, ICE"
2021-01-03,Staff.Confirmed,85983,50,"Arkansas, Nebraska, ICE"
2021-01-10,Staff.Confirmed,91342,50,"Arkansas, Nebraska, ICE"
2021-01-17,Staff.Confirmed,94034,49,"Arkansas, Mississippi, Nebraska, ICE"
2021-01-24,Staff.Confirmed,95482,48,"Arkansas, Mississippi, Nebraska, Virginia, ICE"
2021-01-31,Staff.Confirmed,95547,48,"Arkansas, Mississippi, Nebraska, Pennsylvania, ICE"
2021-02-07,Staff.Confirmed,95378,46,"Alaska, Arkansas, Connecticut, Mississippi, Nebraska
 Pennsylvania, ICE"
2021-02-14,Staff.Confirmed,97266,47,"Alaska, Arkansas, Mississippi, Nebraska, Pennsylvania
 ICE"
2021-02-21,Staff.Confirmed,99300,48,"Alaska, Arkansas, Mississippi, Pennsylvania, ICE"
2021-02-28,Staff.Confirmed,99813,48,"Arkansas, Mississippi, Nebraska, Pennsylvania, ICE"
2021-03-07,Staff.Confirmed,100239,46,"Alaska, Arkansas, Maine, Mississippi, Nebraska
 Pennsylvania, ICE"
2021-03-14,Staff.Confirmed,101286,48,"Arkansas, Mississippi, Nebraska, Pennsylvania, ICE"
2021-03-21,Staff.Confirmed,102350,49,"Arkansas, Nebraska, Pennsylvania, ICE"
2021-03-28,Staff.Confirmed,99674,46,"Alaska, Arkansas, Mississippi, Nebraska, Pennsylvania
 Virginia, ICE"
2021-04-04,Staff.Confirmed,103353,48,"Alaska, Arkansas, Mississippi, Pennsylvania, ICE"
2021-04-11,Staff.Confirmed,108551,47,"Alaska, Arkansas, Maine, Mississippi, Nebraska
 ICE"
2021-04-18,Staff.Confirmed,109450,48,"Arkansas, Maine, Mississippi, Nebraska, ICE"
2021-04-25,Staff.Confirmed,107223,47,"Arkansas, Maine, Mississippi, Nebraska, Virginia
 ICE"
2021-05-02,Staff.Confirmed,110738,48,"Arkansas, Maine, Mississippi, Nebraska, ICE"
2021-05-09,Staff.Confirmed,111194,48,"Arkansas, Maine, Mississippi, Nebraska, ICE"
2021-05-16,Staff.Confirmed,110920,48,"Arkansas, Delaware, Mississippi, Nebraska, ICE"
2021-05-23,Staff.Confirmed,111392,48,"Arkansas, Maine, Mississippi, Nebraska, ICE"
2021-05-30,Staff.Confirmed,111568,47,"Arkansas, Delaware, Maine, Mississippi, Nebraska
 ICE"
2021-06-06,Staff.Confirmed,111588,48,"Arkansas, Maine, Mississippi, Nebraska, ICE"
2021-06-13,Staff.Confirmed,112453,47,"Arkansas, Maine, Mississippi, Nebraska, Wyoming
 ICE"
2021-06-20,Staff.Confirmed,111547,47,"Arkansas, Maine, Mississippi, Nebraska, Wyoming
 ICE"
2021-06-27,Staff.Confirmed,93947,40,"Alaska, Arkansas, Connecticut, Hawaii, Maine
 Mississippi, Nebraska, New Mexico, North Carolina, Virginia
 Wyoming, Federal, ICE"
2021-07-04,Staff.Confirmed,94048,40,"Alaska, Arkansas, Connecticut, Hawaii, Maine
 Mississippi, Nebraska, New Mexico, North Carolina, Virginia
 Wyoming, Federal, ICE"
2021-07-11,Staff.Confirmed,92215,38,"Alaska, Arkansas, Connecticut, Hawaii, Louisiana
 Maine, Mississippi, Nebraska, Nevada, New Mexico
 North Carolina, Virginia, Wyoming, Federal, ICE"
2021-07-18,Staff.Confirmed,91347,37,"Alaska, Arkansas, Connecticut, Georgia, Hawaii
 Louisiana, Maine, Mississippi, Nebraska, New Mexico
 North Carolina, Rhode Island, Virginia, Wyoming, Federal
 ICE"
2021-07-25,Staff.Confirmed,92813,38,"Alaska, Arkansas, Connecticut, Georgia, Hawaii
 Louisiana, Maine, Mississippi, Nebraska, New Mexico
 North Carolina, Virginia, Wyoming, Federal, ICE"
2021-08-01,Staff.Confirmed,94465,38,"Alaska, Arkansas, Connecticut, Georgia, Hawaii
 Louisiana, Maine, Mississippi, Nebraska, New Mexico
 North Carolina, Virginia, Wyoming, Federal, ICE"
2021-08-08,Staff.Confirmed,92415,36,"Alaska, Arkansas, Connecticut, Georgia, Hawaii
 Louisiana, Maine, Mississippi, Nebraska, Nevada
 New Mexico, North Carolina, Oklahoma, Virginia, Wyoming
 Federal, ICE"
2021-08-15,Staff.Confirmed,95775,38,"Arkansas, Georgia, Hawaii, Louisiana, Maine
 Mississippi, Nebraska, Nevada, New Mexico, North Carolina
 Oklahoma, Virginia, Wyoming, Federal, ICE"
2021-08-22,Staff.Confirmed,97862,39,"Arkansas, Georgia, Hawaii, Louisiana, Maine
 Mississippi, Nebraska, New Mexico, North Carolina, Oklahoma
 Virginia, Wyoming, Federal, ICE"
2021-08-29,Staff.Confirmed,104187,40,"Arkansas, Georgia, Hawaii, Louisiana, Maine
 Mississippi, Nebraska, New Mexico, Oklahoma, Virginia
 Wyoming, Federal, ICE"
2021-09-05,Staff.Confirmed,106299,40,"Arkansas, Georgia, Hawaii, Louisiana, Maine
 Mississippi, Nebraska, New Mexico, Oklahoma, Virginia
 Wyoming, Federal, ICE"
2021-09-12,Staff.Confirmed,101891,39,"Arkansas, Florida, Georgia, Hawaii, Louisiana
 Maine, Mississippi, Nebraska, New Mexico, Oklahoma
 Virginia, Wyoming, Federal, ICE"
2020-03-22,Residents.Deaths,2,51,"Kentucky, District of Columbia"
2020-03-29,Residents.Deaths,14,49,"Kentucky, Mississippi, Nebraska, District of Columbia"
2020-04-05,Residents.Deaths,31,52,District of Columbia
2020-04-12,Residents.Deaths,87,52,District of Columbia
2020-04-19,Residents.Deaths,155,51,"Mississippi, District of Columbia"
2020-04-26,Residents.Deaths,245,52,District of Columbia
2020-05-03,Residents.Deaths,337,52,District of Columbia
2020-05-10,Residents.Deaths,418,52,District of Columbia
2020-05-17,Residents.Deaths,450,52,District of Columbia
2020-05-24,Residents.Deaths,493,50,"Nebraska, Washington, District of Columbia"
2020-05-31,Residents.Deaths,542,50,"Nebraska, Washington, District of Columbia"
2020-06-07,Residents.Deaths,568,51,"Nebraska, District of Columbia"
2020-06-14,Residents.Deaths,606,51,"Montana, District of Columbia"
2020-06-21,Residents.Deaths,632,52,District of Columbia
2020-06-28,Residents.Deaths,661,51,"Mississippi, District of Columbia"
2020-07-05,Residents.Deaths,687,52,District of Columbia
2020-07-12,Residents.Deaths,709,49,"Mississippi, Montana, New York, District of Columbia"
2020-07-19,Residents.Deaths,769,51,"Mississippi, District of Columbia"
2020-07-26,Residents.Deaths,826,51,"Mississippi, District of Columbia"
2020-08-02,Residents.Deaths,874,50,"Mississippi, Montana, District of Columbia"
2020-08-09,Residents.Deaths,926,51,"Mississippi, District of Columbia"
2020-08-16,Residents.Deaths,957,49,"Mississippi, Montana, Oklahoma, District of Columbia"
2020-08-23,Residents.Deaths,994,51,"Mississippi, District of Columbia"
2020-08-30,Residents.Deaths,1047,50,"Mississippi, Nebraska, District of Columbia"
2020-09-06,Residents.Deaths,1090,50,"Mississippi, Nebraska, District of Columbia"
2020-09-13,Residents.Deaths,1131,51,"Mississippi, District of Columbia"
2020-09-20,Residents.Deaths,1211,51,"Mississippi, District of Columbia"
2020-09-27,Residents.Deaths,1236,51,"Mississippi, District of Columbia"
2020-10-04,Residents.Deaths,1261,51,"Illinois, Mississippi"
2020-10-11,Residents.Deaths,1307,49,"Kansas, Mississippi, Nebraska, New Hampshire"
2020-10-18,Residents.Deaths,1374,52,Mississippi
2020-10-25,Residents.Deaths,1393,52,Mississippi
2020-11-01,Residents.Deaths,1434,51,"Maine, Mississippi"
2020-11-08,Residents.Deaths,1459,51,"Mississippi, Oklahoma"
2020-11-15,Residents.Deaths,1512,51,"Mississippi, Missouri"
2020-11-22,Residents.Deaths,1561,50,"Maine, Mississippi, Oklahoma"
2020-11-29,Residents.Deaths,1666,52,Mississippi
2020-12-06,Residents.Deaths,1755,52,Mississippi
2020-12-13,Residents.Deaths,1815,51,"Illinois, Mississippi"
2020-12-20,Residents.Deaths,1945,51,"Mississippi, Rhode Island"
2020-12-27,Residents.Deaths,2073,53,""
2021-01-03,Residents.Deaths,2161,52,Mississippi
2021-01-10,Residents.Deaths,2176,51,"Illinois, Mississippi"
2021-01-17,Residents.Deaths,2345,52,Mississippi
2021-01-24,Residents.Deaths,2423,53,""
2021-01-31,Residents.Deaths,2465,53,""
2021-02-07,Residents.Deaths,2512,52,Wyoming
2021-02-14,Residents.Deaths,2495,52,Arizona
2021-02-21,Residents.Deaths,2518,52,Arizona
2021-02-28,Residents.Deaths,2542,52,Arizona
2021-03-07,Residents.Deaths,2556,52,Arizona
2021-03-14,Residents.Deaths,2627,53,""
2021-03-21,Residents.Deaths,2586,52,Illinois
2021-03-28,Residents.Deaths,2652,53,""
2021-04-04,Residents.Deaths,2660,53,""
2021-04-11,Residents.Deaths,2676,53,""
2021-04-18,Residents.Deaths,2683,53,""
2021-04-25,Residents.Deaths,2691,53,""
2021-05-02,Residents.Deaths,2695,53,""
2021-05-09,Residents.Deaths,2703,53,""
2021-05-16,Residents.Deaths,2701,53,""
2021-05-23,Residents.Deaths,2705,52,Maine
2021-05-30,Residents.Deaths,2712,52,Maine
2021-06-06,Residents.Deaths,2715,52,Maine
2021-06-13,Residents.Deaths,2718,52,Maine
2021-06-20,Residents.Deaths,2699,51,"Maine, Mississippi"
2021-06-27,Residents.Deaths,2478,48,"Arkansas, Illinois, Maine, Mississippi, Vermont"
2021-07-04,Residents.Deaths,2474,48,"Arkansas, Illinois, Maine, Mississippi, Vermont"
2021-07-11,Residents.Deaths,2391,46,"Arkansas, Illinois, Louisiana, Maine, Mississippi
 Nevada, Vermont"
2021-07-18,Residents.Deaths,2350,45,"Arkansas, Georgia, Illinois, Louisiana, Maine
 Mississippi, Rhode Island, Vermont"
2021-07-25,Residents.Deaths,2356,46,"Arkansas, Georgia, Illinois, Louisiana, Maine
 Mississippi, Vermont"
2021-08-01,Residents.Deaths,2363,46,"Arkansas, Georgia, Illinois, Louisiana, Maine
 Mississippi, Vermont"
2021-08-08,Residents.Deaths,2313,45,"Arkansas, Georgia, Illinois, Louisiana, Maine
 Mississippi, Nevada, Vermont"
2021-08-15,Residents.Deaths,2407,47,"Arkansas, Georgia, Louisiana, Maine, Mississippi
 Nevada"
2021-08-22,Residents.Deaths,2457,48,"Arkansas, Georgia, Louisiana, Maine, Mississippi"
2021-08-29,Residents.Deaths,2465,48,"Arkansas, Georgia, Louisiana, Maine, Mississippi"
2021-09-05,Residents.Deaths,2470,48,"Arkansas, Georgia, Louisiana, Maine, Mississippi"
2021-09-12,Residents.Deaths,2572,48,"Arkansas, Georgia, Louisiana, Maine, Mississippi"
2020-03-22,Staff.Deaths,0,49,"Kentucky, South Dakota, ICE, District of Columbia"
2020-03-29,Staff.Deaths,2,47,"Kentucky, Mississippi, Nebraska, South Dakota, ICE
 District of Columbia"
2020-04-05,Staff.Deaths,6,46,"Alaska, Arizona, Hawaii, Illinois, New Jersey
 ICE, District of Columbia"
2020-04-12,Staff.Deaths,9,51,"ICE, District of Columbia"
2020-04-19,Staff.Deaths,15,50,"Mississippi, ICE, District of Columbia"
2020-04-26,Staff.Deaths,20,51,"ICE, District of Columbia"
2020-05-03,Staff.Deaths,22,50,"North Dakota, ICE, District of Columbia"
2020-05-10,Staff.Deaths,28,50,"Washington, ICE, District of Columbia"
2020-05-17,Staff.Deaths,33,50,"Colorado, ICE, District of Columbia"
2020-05-24,Staff.Deaths,33,46,"Delaware, Mississippi, Oklahoma, Utah, Virginia
 ICE, District of Columbia"
2020-05-31,Staff.Deaths,34,47,"Delaware, Mississippi, Utah, Virginia, ICE
 District of Columbia"
2020-06-07,Staff.Deaths,39,48,"Delaware, Mississippi, Virginia, ICE, District of Columbia"
2020-06-14,Staff.Deaths,41,48,"Delaware, Mississippi, Montana, ICE, District of Columbia"
2020-06-21,Staff.Deaths,39,48,"Delaware, Mississippi, New Jersey, ICE, District of Columbia"
2020-06-28,Staff.Deaths,43,49,"Arizona, Mississippi, ICE, District of Columbia"
2020-07-05,Staff.Deaths,42,47,"Arizona, Mississippi, Nebraska, New Jersey, ICE
 District of Columbia"
2020-07-12,Staff.Deaths,38,45,"Arizona, Delaware, Mississippi, Nebraska, New Jersey
 New York, ICE, District of Columbia"
2020-07-19,Staff.Deaths,47,48,"Arizona, Mississippi, New Jersey, ICE, District of Columbia"
2020-07-26,Staff.Deaths,51,47,"Arizona, Mississippi, Nebraska, New Jersey, ICE
 District of Columbia"
2020-08-02,Staff.Deaths,60,46,"Arizona, Mississippi, Montana, Nebraska, New Jersey
 ICE, District of Columbia"
2020-08-09,Staff.Deaths,65,47,"Arizona, Mississippi, Nebraska, New Jersey, ICE
 District of Columbia"
2020-08-16,Staff.Deaths,70,46,"Arizona, Mississippi, Montana, New Jersey, Oklahoma
 ICE, District of Columbia"
2020-08-23,Staff.Deaths,72,45,"Arizona, Illinois, Massachusetts, Mississippi, New Jersey
 Virginia, ICE, District of Columbia"
2020-08-30,Staff.Deaths,72,45,"Alaska, Arizona, Hawaii, Massachusetts, Mississippi
 New Jersey, ICE, District of Columbia"
2020-09-06,Staff.Deaths,73,45,"Alaska, Arizona, Massachusetts, Mississippi, New Jersey
 Virginia, ICE, District of Columbia"
2020-09-13,Staff.Deaths,76,46,"Arizona, Massachusetts, Mississippi, New Jersey, Oklahoma
 ICE, District of Columbia"
2020-09-20,Staff.Deaths,79,46,"Arizona, Hawaii, Massachusetts, Mississippi, New Jersey
 ICE, District of Columbia"
2020-09-27,Staff.Deaths,84,47,"Arizona, Massachusetts, Mississippi, New Jersey, ICE
 District of Columbia"
2020-10-04,Staff.Deaths,84,46,"Arizona, Hawaii, Massachusetts, Mississippi, New Jersey
 Oregon, ICE"
2020-10-11,Staff.Deaths,82,44,"Arizona, Hawaii, Kansas, Massachusetts, Mississippi
 New Hampshire, New Jersey, Oregon, ICE"
2020-10-18,Staff.Deaths,86,48,"Arizona, Massachusetts, Mississippi, New Jersey, ICE"
2020-10-25,Staff.Deaths,87,47,"Arizona, Massachusetts, Mississippi, New Jersey, Oklahoma
 ICE"
2020-11-01,Staff.Deaths,87,44,"Arizona, Colorado, Maine, Massachusetts, Mississippi
 New Jersey, Oklahoma, Wisconsin, ICE"
2020-11-08,Staff.Deaths,86,44,"Arizona, Florida, Massachusetts, Mississippi, Nebraska
 New Jersey, Oklahoma, Wisconsin, ICE"
2020-11-15,Staff.Deaths,92,42,"Arizona, Colorado, Massachusetts, Mississippi, Missouri
 Nebraska, New Jersey, Oklahoma, Utah, Wisconsin
 ICE"
2020-11-22,Staff.Deaths,96,41,"Arizona, Colorado, Maine, Massachusetts, Mississippi
 Nebraska, New Jersey, Oklahoma, Rhode Island, Utah
 Wisconsin, ICE"
2020-11-29,Staff.Deaths,102,45,"Arizona, Massachusetts, Mississippi, Nebraska, New Jersey
 Oklahoma, Wisconsin, ICE"
2020-12-06,Staff.Deaths,104,44,"Arizona, Massachusetts, Mississippi, Nebraska, New Hampshire
 New Jersey, Oklahoma, Wisconsin, ICE"
2020-12-13,Staff.Deaths,109,42,"Arizona, Connecticut, Illinois, Massachusetts, Mississippi
 Nebraska, New Jersey, Oklahoma, Utah, Wisconsin
 ICE"
2020-12-20,Staff.Deaths,111,43,"Arizona, Florida, Minnesota, Mississippi, Nebraska
 New Jersey, Oklahoma, Utah, Wisconsin, ICE"
2020-12-27,Staff.Deaths,122,42,"Arizona, Colorado, Florida, Massachusetts, Nebraska
 New Jersey, Oklahoma, Utah, Wisconsin, Wyoming
 ICE"
2021-01-03,Staff.Deaths,128,39,"Arizona, Florida, Hawaii, Massachusetts, Minnesota
 Mississippi, Nebraska, New Hampshire, New Jersey, Oklahoma
 Oregon, Utah, Wisconsin, ICE"
2021-01-10,Staff.Deaths,140,41,"Arizona, Illinois, Massachusetts, Minnesota, Mississippi
 Nebraska, New Hampshire, New Jersey, Oklahoma, Utah
 Wisconsin, ICE"
2021-01-17,Staff.Deaths,153,41,"Arizona, Arkansas, Massachusetts, Minnesota, Mississippi
 Nebraska, New Hampshire, New Jersey, Oklahoma, Utah
 Wisconsin, ICE"
2021-01-24,Staff.Deaths,163,43,"Arizona, Massachusetts, Mississippi, Nebraska, New Jersey
 Oklahoma, Oregon, Utah, Wisconsin, ICE"
2021-01-31,Staff.Deaths,166,44,"Arizona, Massachusetts, Minnesota, Mississippi, Nebraska
 New Jersey, Oklahoma, Wisconsin, ICE"
2021-02-07,Staff.Deaths,166,37,"Alaska, Arizona, Connecticut, Florida, Hawaii
 Massachusetts, Minnesota, Mississippi, Nebraska, New Hampshire
 New Jersey, Oklahoma, Oregon, Utah, Wisconsin
 ICE"
2021-02-14,Staff.Deaths,177,42,"Alaska, Arizona, Massachusetts, Mississippi, Nebraska
 New Hampshire, New Jersey, Oklahoma, Utah, Wisconsin
 ICE"
2021-02-21,Staff.Deaths,180,41,"Alaska, Arizona, Hawaii, Massachusetts, Mississippi
 Nebraska, New Jersey, Oklahoma, Utah, Vermont
 Wisconsin, ICE"
2021-02-28,Staff.Deaths,182,42,"Arizona, Massachusetts, Mississippi, Nebraska, New Jersey
 Oklahoma, Oregon, Utah, Vermont, Wisconsin
 ICE"
2021-03-07,Staff.Deaths,178,41,"Alaska, Arizona, Florida, Massachusetts, Mississippi
 Nebraska, New Jersey, Oklahoma, Oregon, Utah
 Wisconsin, ICE"
2021-03-14,Staff.Deaths,186,44,"Arizona, Massachusetts, Mississippi, Nebraska, New Jersey
 Oklahoma, Utah, Wisconsin, ICE"
2021-03-21,Staff.Deaths,189,44,"Arizona, Massachusetts, Mississippi, Nebraska, New Jersey
 Oklahoma, Oregon, Wisconsin, ICE"
2021-03-28,Staff.Deaths,188,41,"Alaska, Arizona, Massachusetts, Mississippi, Nebraska
 New Hampshire, New Jersey, Oklahoma, Oregon, Utah
 Wisconsin, ICE"
2021-04-04,Staff.Deaths,183,41,"Alaska, Arizona, Colorado, Florida, Massachusetts
 Mississippi, Nebraska, New Jersey, Oklahoma, Utah
 Wisconsin, ICE"
2021-04-11,Staff.Deaths,192,43,"Arizona, Massachusetts, Mississippi, Nebraska, New Jersey
 Oklahoma, Oregon, Utah, Wisconsin, ICE"
2021-04-18,Staff.Deaths,189,43,"Arizona, Massachusetts, Mississippi, Nebraska, New Jersey
 Oklahoma, Pennsylvania, Utah, Wisconsin, ICE"
2021-04-25,Staff.Deaths,190,43,"Arizona, Massachusetts, Mississippi, Nebraska, New Jersey
 Oklahoma, Pennsylvania, Utah, Wisconsin, ICE"
2021-05-02,Staff.Deaths,193,43,"Arizona, Massachusetts, Mississippi, Nebraska, New Jersey
 Oklahoma, Pennsylvania, Utah, Wisconsin, ICE"
2021-05-09,Staff.Deaths,193,43,"Arizona, Massachusetts, Mississippi, Nebraska, New Jersey
 Oklahoma, Pennsylvania, Utah, Wisconsin, ICE"
2021-05-16,Staff.Deaths,193,42,"Arizona, Massachusetts, Mississippi, Nebraska, New Jersey
 Oklahoma, Oregon, Pennsylvania, Utah, Wisconsin
 ICE"
2021-05-23,Staff.Deaths,194,41,"Arizona, Maine, Massachusetts, Mississippi, Nebraska
 New Jersey, Oklahoma, Oregon, Pennsylvania, Utah
 Wisconsin, ICE"
2021-05-30,Staff.Deaths,195,42,"Arizona, Maine, Massachusetts, Mississippi, Nebraska
 New Jersey, Oklahoma, Pennsylvania, Utah, Wisconsin
 ICE"
2021-06-06,Staff.Deaths,195,42,"Arizona, Maine, Massachusetts, Mississippi, Nebraska
 New Jersey, Oklahoma, Pennsylvania, Utah, Wisconsin
 ICE"
2021-06-13,Staff.Deaths,195,40,"Arizona, Delaware, Maine, Massachusetts, Mississippi
 Nebraska, New Jersey, Oklahoma, Pennsylvania, Utah
 Wisconsin, Wyoming, ICE"
2021-06-20,Staff.Deaths,168,38,"Arizona, California, Delaware, Hawaii, Maine
 Massachusetts, Mississippi, Nebraska, New Jersey, Oklahoma
 Pennsylvania, Utah, Wisconsin, Wyoming, ICE"
