Date,State,Residents.Confirmed,Staff.Confirmed,Residents.Deaths,Staff.Deaths,Residents.Tadmin,Residents.Tested,Residents.Active,Staff.Active,Staff.Initiated,Residents.Initiated,Residents.Completed,Staff.Completed,Residents.Vadmin,Staff.Vadmin
2021-01-24,Alabama,1378,959,60,3,14694,14723,164,159,,,0,0,,
2021-01-31,Alabama,1413,979,60,3,14773,14773,152,173,,,0,0,,
2021-02-07,Alabama,1485,1001,60,3,14890,14892,194,172,,,0,0,,
2021-02-14,Alabama,1499,1005,60,3,15075,15077,160,158,,,0,0,,
2021-02-21,Alabama,1506,1014,61,3,15115,15119,89,160,,,0,0,,
2021-02-28,Alabama,1530,1026,61,3,15152,15156,31,80,,,0,0,,
2021-03-07,Alabama,1557,1029,62,3,15211,15212,52,57,,,0,,,
2021-03-14,Alabama,1567,1034,63,3,15338,15292,33,58,,,0,,,
2021-03-21,Alabama,1595,1036,63,3,15493,15353,34,60,172,,0,,,
2021-03-28,Alabama,1611,1039,64,3,15550,15510,45,64,487,,,,,
2021-04-04,Alabama,1632,1040,65,3,15599,15574,50,55,768,871,,,,
2021-04-11,Alabama,1635,1044,65,3,15692,15669,64,55,826,1184,,,,
2021-04-18,Alabama,1638,1044,65,3,15871,15703,24,22,824,1740,,,,
2021-04-25,Alabama,1644,1045,65,3,15981,15877,7,22,830,1972,,,,
2021-05-02,Alabama,1647,1045,65,3,16014,15986,12,22,838,2798,,,,
2021-05-09,Alabama,1649,1046,66,3,16066,16033,9,21,839,3508,,,,
2021-05-16,Alabama,1651,1052,66,3,16211,16074,4,9,846,4845,,,,
2021-05-23,Alabama,1654,1052,66,3,16334,16266,3,11,853,7348,,,,
2021-05-30,Alabama,1655,1053,66,3,16429,16372,5,6,855,9373,,,,
2021-06-06,Alabama,1661,1055,66,3,16489,16437,4,5,859,10579,,,,
2021-06-13,Alabama,1661,1056,66,3,16497,16497,8,7,865,10671,,,,
2021-06-20,Alabama,1662,1058,66,3,16743,16497,6,7,865,10671,,,,
2021-06-27,Alabama,1662,1058,66,3,,16743,7,8,871,10811,,,,
2021-07-04,Alabama,1662,1058,66,3,,16743,1,7,871,10811,,,,
2021-07-11,Alabama,1664,1059,66,3,,16841,3,7,874,10947,,,,
2021-07-18,Alabama,1666,1062,66,3,,16907,4,9,874,10971,,,,
2021-07-25,Alabama,1666,1062,66,3,,16907,4,9,874,10971,,,,
2021-08-01,Alabama,1681,1089,66,3,,17018,19,32,874,11074,,,,
2021-08-08,Alabama,1698,1106,66,3,,17169,22,46,876,11255,,,,
2021-08-15,Alabama,1901,1124,66,3,,18246,226,62,876,11355,,,,
2021-08-22,Alabama,1906,1136,67,3,,18318,226,64,878,11399,,,,
2021-08-29,Alabama,1941,1156,67,3,,18374,243,71,879,11517,,,,
2021-09-05,Alabama,1958,1174,67,3,,18420,239,71,879,11517,,,,
2021-09-12,Alabama,1994,1180,68,3,,18504,79,63,879,11554,,,,
2020-03-22,Alaska,0,0,0,0,,4,,,,,,,,
2020-03-29,Alaska,0,0,0,0,,10,,,,,,,,
2020-04-05,Alaska,0,,0,,,15,,,,,,,,
2020-04-12,Alaska,0,7,0,0,,32,,,,,,,,
2020-04-19,Alaska,0,8,0,0,,57,,,,,,,,
2020-04-26,Alaska,1,,0,0,,211,,,,,,,,
2020-05-03,Alaska,1,8,0,0,,235,,,,,,,,
2020-05-10,Alaska,1,10,0,0,,256,,,,,,,,
2020-05-17,Alaska,2,11,0,0,,442,,,,,,,,
2020-05-24,Alaska,2,11,0,0,,500,,,,,,,,
2020-05-31,Alaska,2,11,0,0,,519,,,,,,,,
2020-06-07,Alaska,2,11,0,0,,572,,,,,,,,
2020-06-14,Alaska,4,11,0,0,,643,,,,,,,,
2020-06-21,Alaska,2,11,0,0,,722,,,,,,,,
2020-06-28,Alaska,2,11,0,0,,966,,,,,,,,
2020-07-05,Alaska,5,11,0,0,1233,1376,,,,,,,,
2020-07-12,Alaska,9,12,0,0,1593,1834,,,,,,,,
2020-07-19,Alaska,16,12,0,0,2168,2224,,,,,,,,
2020-07-26,Alaska,18,15,0,0,2345,2436,,,,,,,,
2020-08-02,Alaska,24,16,0,0,2918,3097,,,,,,,,
2020-08-09,Alaska,31,17,0,0,3365,3555,,,,,,,,
2020-08-16,Alaska,34,30,0,0,3729,3950,,,,,,,,
2020-08-23,Alaska,44,,0,0,4082,4305,,,,,,,,
2020-08-30,Alaska,49,,0,,4578,4577,,,,,,,,
2020-09-06,Alaska,51,,0,,4704,4969,,,,,,,,
2020-09-13,Alaska,60,31,0,0,5136,5325,,,,,,,,
2020-09-20,Alaska,63,32,0,0,5499,5566,,,,,,,,
2020-09-27,Alaska,65,32,0,0,5741,5862,,,,,,,,
2020-10-04,Alaska,82,34,0,0,6133,5862,,,,,,,,
2020-10-11,Alaska,88,,0,0,6369,6369,,,,,,,,
2020-10-18,Alaska,159,39,0,0,7006,7096,,,,,,,,
2020-10-25,Alaska,194,52,0,0,7608,7608,,,,,,,,
2020-11-01,Alaska,240,64,0,0,8121,8237,,,,,,,,
2020-11-08,Alaska,364,74,0,0,8933,,,,,,,,,
2020-11-15,Alaska,527,95,0,0,9689,,,,,,,,,
2020-11-22,Alaska,644,111,1,0,10724,,,,,,,,,
2020-11-29,Alaska,897,129,2,0,12165,,,,,,,,,
2020-12-06,Alaska,1217,147,3,0,13603,,,,,,,,,
2020-12-13,Alaska,1605,179,3,0,14870,,,,,,,,,
2020-12-20,Alaska,1905,198,3,0,15668,,,,,,,,,
2020-12-27,Alaska,2026,216,5,0,16748,,,,,,0,0,,
2021-01-03,Alaska,2155,232,5,0,17160,,,,,,,,,
2021-01-10,Alaska,2241,256,5,0,18828,,,,,,,,,
2021-01-17,Alaska,2284,256,5,0,19307,,,,,,,,,
2021-01-24,Alaska,2298,268,5,0,20406,,,,,,,,,
2021-01-31,Alaska,2299,271,5,0,21236,,,,,,,,,
2021-02-07,Alaska,2305,,5,,22379,,,,,,,,,
2021-02-14,Alaska,2306,,5,,22406,,,,,,,,,
2021-02-21,Alaska,2320,,5,,24511,,,,,,92,,,
2021-02-28,Alaska,2327,290,5,0,24785,,,,,,233,,,
2021-03-07,Alaska,2330,,5,,25480,,,,,1472,233,,1705,
2021-03-14,Alaska,2382,303,5,0,27029,,,,,1926,429,,2183,
2021-03-21,Alaska,2384,313,5,0,27299,,,,,2059,468,,2443,
2021-03-28,Alaska,2394,,5,,29585,,,,,2048,402,,2433,
2021-04-04,Alaska,2396,,5,,29981,,,,,2513,1715,,4085,
2021-04-11,Alaska,2399,,5,0,30457,,,,,2677,1840,,4356,
2021-04-18,Alaska,2404,325,5,0,32078,,,,,2770,1935,,4493,
2021-04-25,Alaska,2408,325,5,0,32385,,,,,2764,2242,,4857,
2021-05-02,Alaska,2411,330,5,0,32715,,,,,3068,2313,,5204,
2021-05-09,Alaska,2420,330,5,0,33204,,,,,3153,2451,,5364,
2021-05-16,Alaska,2423,330,5,0,34006,,,,,3235,2755,,5728,
2021-05-23,Alaska,2427,330,5,0,34006,,,,,3290,2832,,5838,
2021-05-30,Alaska,2430,330,5,0,34006,,,,,3344,2927,,5955,
2021-06-06,Alaska,2432,332,5,0,37608,,,,,3381,2985,,6026,
2021-06-13,Alaska,2432,332,5,0,38148,,,,,3379,2982,,6023,
2021-06-20,Alaska,2440,332,5,0,38707,,,,,2820,3097,,,
2021-06-27,Alaska,2440,,5,,38707,,,,,2826,2608,,,
2021-07-04,Alaska,2440,,5,,38707,,,,,2781,2608,,,
2021-07-11,Alaska,2440,,5,,38707,,,,,2781,2608,,,
2021-07-18,Alaska,2440,,5,,38707,,,,,2781,2608,,,
2021-07-25,Alaska,2440,,5,,38707,,,,,2781,2608,,,
2021-08-01,Alaska,2526,,5,,44215,,,,,2880,2671,,,
2021-08-08,Alaska,2526,,5,,44215,,,,,2880,2671,,,
2021-08-15,Alaska,2526,373,5,0,44215,,,,,2880,2671,,,
2021-08-22,Alaska,2526,373,5,0,44215,,,,,2880,2671,,,
2021-08-29,Alaska,2692,397,5,0,49081,,,,,2913,2687,,,
2021-09-05,Alaska,2728,397,5,0,49949,,,,,2925,2704,,,
2021-09-12,Alaska,2790,428,5,1,51227,,,,,2953,2725,,,
2020-03-22,Arizona,0,,0,0,,15,,,,,,,,
2020-03-29,Arizona,0,3,0,0,,34,,,,,,,,
2020-04-05,Arizona,2,3,0,,,68,,,,,,,,
2020-04-12,Arizona,17,20,0,0,,91,,,,,,,,
2020-04-19,Arizona,35,30,0,0,,172,,,,,,,,
2020-04-26,Arizona,50,46,2,0,,210,,,,,,,,
2020-05-03,Arizona,69,59,5,0,,277,,,,,,,,
2020-05-10,Arizona,136,64,6,0,,519,,,,,,,,
2020-05-17,Arizona,172,70,6,0,,868,,,,,,,,
2020-05-24,Arizona,183,82,7,0,,1071,,,,,,,,
2020-05-31,Arizona,237,99,7,0,,1393,,,,,,,,
2020-06-07,Arizona,252,117,8,1,,2013,,,,,,,,
2020-06-14,Arizona,318,147,10,1,,2764,,,,,,,,
2020-06-21,Arizona,357,186,9,1,,3099,,,,,,,,
2020-06-28,Arizona,457,250,12,,,3819,,,,,,,,
2020-07-05,Arizona,531,341,13,,,4331,,,,,,,,
2020-07-12,Arizona,592,414,13,,,4580,,,,,,,,
2020-07-19,Arizona,705,498,13,,,5150,,,,,,,,
2020-07-26,Arizona,850,555,18,,,6313,,,,,,,,
2020-08-02,Arizona,1459,607,21,,,8541,,,,,,,,
2020-08-09,Arizona,1606,651,24,,,13120,,,,,,,,
2020-08-16,Arizona,1815,669,25,,,23984,,,,,,,,
2020-08-23,Arizona,1997,677,27,,,33815,,,,,,,,
2020-08-30,Arizona,2349,685,27,,,38801,,,,,,,,
2020-09-06,Arizona,2487,689,27,,,39604,,,,,,,,
2020-09-13,Arizona,2568,695,28,,,40453,,,,,,,,
2020-09-20,Arizona,2577,700,28,,,39850,,,,,,,,
2020-09-27,Arizona,2588,708,28,,,40053,,,,,,,,
2020-10-04,Arizona,2599,712,28,,,40290,,,,,,,,
2020-10-11,Arizona,2613,716,28,,,40462,,,,,,,,
2020-10-18,Arizona,2626,744,28,,,40900,,,,,,,,
2020-10-25,Arizona,2636,767,28,,,40937,,,,,,,,
2020-11-01,Arizona,2649,810,28,,,41217,,,,,,,,
2020-11-08,Arizona,2699,878,28,,,41381,,,,,,,,
2020-11-15,Arizona,2874,925,28,,,41590,,,,,,,,
2020-11-22,Arizona,2954,996,28,,,41870,,,,,,,,
2020-11-29,Arizona,3296,1174,31,,,42130,,,,,,,,
2020-12-06,Arizona,4296,1348,32,,,42304,,,,,,,,
2020-12-13,Arizona,5639,1593,33,,,42525,,,,,,,,
2020-12-20,Arizona,6388,1709,34,,,42759,,,,,0,0,,
2020-12-27,Arizona,7151,1863,36,,,42846,,,,,0,0,,
2021-01-03,Arizona,7833,2007,41,,,43067,,,,,0,0,,
2021-01-10,Arizona,8460,2206,44,,,43250,,,,,0,0,,
2021-01-17,Arizona,9108,2363,47,,,43440,,,,,0,0,,
2021-01-24,Arizona,10684,2488,48,,,43627,,,,,,,,
2021-01-31,Arizona,11388,2538,48,,,43601,,,,,,,,
2021-02-07,Arizona,11622,2619,50,,,43603,,,,,,,,
2021-02-14,Arizona,11872,2648,,,,43642,,,,,,,,
2021-02-21,Arizona,11958,2678,,,,43622,,,,,,,,
2021-02-28,Arizona,12025,2695,,,,43630,,,,,,,,
2021-03-07,Arizona,12058,2712,,,,43631,,,,,,,,
2021-03-14,Arizona,12205,2721,52,,,43650,,,,,,,,
2021-03-21,Arizona,12210,2734,52,,,43650,,,,,,,,
2021-03-28,Arizona,12217,2739,50,,,43654,,,,,,,,
2021-04-04,Arizona,12254,2742,53,,,43656,,,,,,,,
2021-04-11,Arizona,12263,2745,54,,,46322,,,,,,,,
2021-04-18,Arizona,12268,2758,54,,,46333,,,,,,,,
2021-04-25,Arizona,12280,2762,55,,,46700,,,,,,,,
2021-05-02,Arizona,12289,2766,59,,,46849,,,,,,,,
2021-05-09,Arizona,12297,2769,60,,,46944,,,,,,,,
2021-05-16,Arizona,12297,2771,59,,,46976,,,,,,,,
2021-05-23,Arizona,12307,2772,60,,,47279,,,,,,,,
2021-05-30,Arizona,12321,2780,63,,,47600,,,,,,,,
2021-06-06,Arizona,12320,2782,63,,,47532,,,,,,,,
2021-06-13,Arizona,12328,2785,64,,,47899,,,,,,,,
2021-06-20,Arizona,12333,2787,66,,,48070,,,,26291,26291,,,
2021-06-27,Arizona,12335,2792,66,,,48128,,,,26291,26291,,,
2021-07-04,Arizona,12341,2800,67,,,48388,,,,26291,26291,,,
2021-07-11,Arizona,12340,2808,65,,,48576,,,,26291,26291,,,
2021-07-18,Arizona,12342,2830,67,,,48579,,,,26075,26075,,,
2021-07-25,Arizona,12346,2843,65,,,48762,,,,26075,26075,,,
2021-08-01,Arizona,12355,2856,65,,,48957,,,,26075,26075,,,
2021-08-08,Arizona,12355,2887,64,,,48989,,,,26075,26075,,,
2021-08-15,Arizona,12358,2911,63,,,49146,,,,25914,25914,,,
2021-08-22,Arizona,12363,2935,63,,,49357,,,,25914,25914,,,
2021-08-29,Arizona,12373,2968,63,,,49472,,,,25914,25914,,,
2021-09-05,Arizona,12373,2985,62,,,49566,,,,25914,25914,,,
2021-09-12,Arizona,12376,3005,62,,,49800,,,,25782,25782,,,
2020-03-22,Arkansas,0,0,0,0,,0,,,,,,,,
2020-03-29,Arkansas,0,1,0,0,,1,,,,,,,,
2020-04-05,Arkansas,0,7,0,0,,,,,,,,,,
2020-04-12,Arkansas,163,35,0,0,,,,,,,,,,
2020-04-19,Arkansas,751,25,0,0,1124,,,,,,,,,
2020-04-26,Arkansas,923,95,0,0,1855,,,,,,,,,
2020-05-03,Arkansas,944,127,5,0,,,,,,,,,,
2020-05-10,Arkansas,1066,,7,0,2486,,,,,,,,,
2020-05-17,Arkansas,1246,135,8,1,2696,,,,,,,,,
2020-05-24,Arkansas,1251,135,8,1,2713,,,,,,,,,
2020-05-31,Arkansas,1253,135,9,1,,2721,,,,,,,,
2020-06-07,Arkansas,1336,135,11,1,,4392,,,,,,,,
2020-06-14,Arkansas,1801,172,11,1,,4453,,,,,,,,
2020-06-21,Arkansas,2301,188,11,1,,6961,,,,,,,,
2020-06-28,Arkansas,2581,218,13,1,,7037,,,,,,,,
2020-07-05,Arkansas,2981,242,14,1,,7092,,,,,,,,
2020-07-12,Arkansas,3728,259,16,1,,8255,,,,,,,,
2020-07-19,Arkansas,3789,259,25,1,,8583,,,,,,,,
2020-07-26,Arkansas,4008,309,27,1,,9319,,,,,,,,
2020-08-02,Arkansas,4182,342,31,1,,9525,,,,,,,,
2020-08-09,Arkansas,4665,346,34,1,,10684,,,,,,,,
2020-08-16,Arkansas,5038,370,36,1,,13035,,,,,,,,
2020-08-23,Arkansas,5194,396,38,1,,16143,,,,,,,,
2020-08-30,Arkansas,5570,399,39,1,,16646,,,,,,,,
2020-09-06,Arkansas,5752,,39,1,,16727,,,,,,,,
2020-09-13,Arkansas,5950,,39,1,,16928,,,,,,,,
2020-09-20,Arkansas,6172,,39,1,,17150,,,,,,,,
2020-09-27,Arkansas,6422,,42,2,,17400,,,,,,,,
2020-10-04,Arkansas,6606,,45,2,,17583,,,,,,,,
2020-10-11,Arkansas,6874,,45,2,,17825,,,,,,,,
2020-10-18,Arkansas,7084,,47,2,,18035,,,,,,,,
2020-10-25,Arkansas,7529,,48,2,,18480,,,,,,,,
2020-11-01,Arkansas,7820,,48,2,,18771,,,,,,,,
2020-11-08,Arkansas,8560,,48,2,,19511,,,,,,,,
2020-11-15,Arkansas,8566,,48,2,,19512,,,,,,,,
2020-11-22,Arkansas,8914,780,48,2,19732,19860,,,,,,,,
2020-11-29,Arkansas,9014,813,49,2,,19960,408,,,,,,,
2020-12-06,Arkansas,9386,,49,2,,20132,423,,,,,,,
2020-12-13,Arkansas,9745,,50,2,,,677,153,,,,,,
2020-12-20,Arkansas,10203,,50,2,,,628,169,,,0,0,,
2020-12-27,Arkansas,10579,,50,3,,,628,192,,,0,0,,
2021-01-03,Arkansas,10741,,51,4,,,610,192,,,0,0,,
2021-01-10,Arkansas,10832,,51,4,,,286,123,,,0,0,,
2021-01-17,Arkansas,11054,,52,,,,177,122,,,0,,,
2021-01-24,Arkansas,10905,,52,4,,,152,104,,,0,,,
2021-01-31,Arkansas,10954,,52,4,,,90,72,,,0,,,
2021-02-07,Arkansas,10992,,52,4,,,99,70,,,0,,,
2021-02-14,Arkansas,11032,,52,4,,,83,58,,,0,851,,
2021-02-21,Arkansas,11033,,52,4,,,48,44,,,0,851,,
2021-02-28,Arkansas,11139,,52,4,,,76,,,,0,,,
2021-03-07,Arkansas,11146,,52,4,,,97,9,,,0,972,,
2021-03-14,Arkansas,11172,,52,4,,,55,7,,,0,972,,
2021-03-21,Arkansas,11187,,52,4,,,52,10,,,0,972,,
2021-03-28,Arkansas,11229,,52,4,,,56,9,,,0,,,
2021-04-04,Arkansas,11245,,52,4,,,56,9,,,0,,,
2021-04-11,Arkansas,11273,,52,4,,,46,4,,,,,,
2021-04-18,Arkansas,11303,,52,4,,,43,2,,,,,,
2021-04-25,Arkansas,11320,,52,4,,,39,2,,,,,,
2021-05-02,Arkansas,11329,,52,4,,,22,7,,,,,,
2021-05-09,Arkansas,11351,,52,4,,,13,7,,,,,,
2021-05-16,Arkansas,11373,,52,4,,,39,6,,,,,,
2021-05-23,Arkansas,11376,,52,4,,,39,6,,,,,,
2021-05-30,Arkansas,11399,,52,4,,,30,4,,,,,,
2021-06-06,Arkansas,11409,,52,4,,,53,1,,,,,,
2021-06-13,Arkansas,11416,,52,4,,,53,2,,,,,,
2021-06-20,Arkansas,11425,,52,4,,,12,7,,,,,,
2021-06-27,Arkansas,11472,,,,,,67,16,,,,,,
2021-07-04,Arkansas,11472,,,,,,67,16,,,,,,
2021-07-11,Arkansas,11472,,,,,,67,16,,,,,,
2021-07-18,Arkansas,11552,,,,,,45,30,,,,,,
2021-07-25,Arkansas,11606,,,,,,86,62,,,,,,
2021-08-01,Arkansas,11680,,,,,,129,66,,,,,,
2021-08-08,Arkansas,11735,,,,,,77,65,,,,,,
2021-08-15,Arkansas,12083,,,,,,66,73,,,,,,
2021-08-22,Arkansas,11805,,,,,,42,70,,,,,,
2021-08-29,Arkansas,11868,,,,,,95,70,,,,,,
2021-09-05,Arkansas,11909,,,,,,104,49,,,,,,
2021-09-12,Arkansas,11972,,,,,,92,34,,,,,,
2020-03-22,California,1,9,0,0,,166,,,,,,,,
2020-03-29,California,15,37,0,0,,266,,,,,,,,
2020-04-05,California,42,71,0,0,,421,,,,,,,,
2020-04-12,California,115,82,0,0,,593,,,,,,,,
2020-04-19,California,176,106,1,0,,676,,,,,,,,
2020-04-26,California,236,144,1,0,,1220,,,,,,,,
2020-05-03,California,511,169,4,0,,1551,,,,,,,,
2020-05-10,California,648,191,5,0,,2494,,,,,,,,
2020-05-17,California,1101,221,6,0,,7407,,,,,,,,
2020-05-24,California,1442,297,9,0,,11831,,,,,,,,
2020-05-31,California,2856,397,12,1,,15964,,,,,,,,
2020-06-07,California,3163,497,15,2,,21441,,,,,,,,
2020-06-14,California,3526,607,19,2,,25666,,,,,,,,
2020-06-21,California,4377,723,20,2,,31725,,,,,,,,
2020-06-28,California,5314,1014,25,2,,40753,,,,,,,,
2020-07-05,California,5895,1202,31,2,,47477,,,,,,,,
2020-07-12,California,6881,1347,39,3,,52389,,,,,,,,
2020-07-19,California,7505,1513,44,3,,59808,,,,,,,,
2020-07-26,California,8187,1757,47,3,,65843,,,,,,,,
2020-08-02,California,8737,1910,52,8,,70864,,,,,,,,
2020-08-09,California,9427,2210,54,9,,75817,,,,,,,,
2020-08-16,California,10023,2480,57,9,,79595,,,,,,,,
2020-08-23,California,10521,2718,57,9,,83324,,,,,,,,
2020-08-30,California,11184,2829,59,9,,86283,,,,,,,,
2020-09-06,California,11857,3236,59,9,,88909,,,,,,,,
2020-09-13,California,12603,3366,60,9,,90417,,,,,,,,
2020-09-20,California,14028,3504,93,9,,92106,,,,,,,,
2020-09-27,California,14625,3644,68,9,,93407,,,,,,,,
2020-10-04,California,14893,3793,69,10,,94805,,,,,,,,
2020-10-11,California,15224,3896,69,10,,96486,,,,,,,,
2020-10-18,California,15364,4128,74,10,,98291,,,,,,,,
2020-10-25,California,15843,4317,78,10,,100145,,,,,,,,
2020-11-01,California,16144,4499,81,10,,101518,,,,,,,,
2020-11-08,California,17362,4892,82,10,,104053,1591,702,,,,,,
2020-11-15,California,18110,4915,83,10,,107813,2081,702,,,,,,
2020-11-22,California,19595,5903,85,10,,110529,3066,1460,,,,,,
2020-11-29,California,22508,6939,90,10,,112305,4832,1419,,,,,,
2020-12-06,California,25426,7498,93,10,,113010,6041,1798,,,,,,
2020-12-13,California,32334,9541,104,10,,115249,10680,3437,,,,,,
2020-12-20,California,36681,11205,114,11,,115617,11491,3992,,,,,,
2020-12-27,California,40368,12266,129,11,,115673,10407,4458,,,,,,
2021-01-03,California,43055,13595,150,11,,115774,8854,4717,,,,,,
2021-01-10,California,44936,14547,170,13,,116101,6075,3569,,,,,,
2021-01-17,California,46046,14618,184,19,,116169,4510,2411,,,,,,
2021-01-24,California,47228,15012,192,22,,116615,3073,1887,22234,8782,,,,
2021-01-31,California,48013,15314,199,23,,116980,2515,1211,23010,18959,,,,
2021-02-07,California,48656,15498,207,25,,117458,2002,840,24088,28008,,,,
2021-02-14,California,48917,15513,210,25,,117948,1555,562,24842,35273,,,,
2021-02-21,California,49081,15713,211,26,,118552,936,517,24990,38795,,,,
2021-02-28,California,49152,15810,212,26,,118981,335,494,25806,41834,,,,
2021-03-07,California,49169,15897,215,26,,119620,134,557,25899,42487,,,,
2021-03-14,California,49189,15970,216,26,,119966,70,598,26169,43437,,,,
2021-03-21,California,49208,16037,216,26,,120589,49,597,26386,44502,,,,
2021-03-28,California,49230,15964,218,26,,121210,54,208,26386,44502,42759,24483,,
2021-04-04,California,49220,15964,219,26,,121812,33,208,2264,20588,45075,24811,,
2021-04-11,California,49224,16284,221,26,,122395,26,254,27141,66166,47482,25282,,
2021-04-18,California,49220,16323,222,26,,123022,19,164,27354,66801,55232,25844,,
2021-04-25,California,49223,16384,222,26,,123824,17,184,27502,67377,62011,25931,,
2021-05-02,California,49229,16441,222,28,,124553,20,180,27483,67798,64362,26207,,
2021-05-09,California,49246,16485,222,28,,125541,31,168,31069,68555,65662,28855,,
2021-05-16,California,49249,16537,222,28,,129816,30,154,31551,69302,66650,29240,,
2021-05-23,California,49254,16770,224,28,,126921,23,134,32116,69537,67329,30800,,
2021-05-30,California,49338,16815,224,28,,127540,111,166,33057,70410,67985,30840,,
2021-06-06,California,49375,16683,224,28,,128360,134,203,34417,70890,68758,32499,,
2021-06-13,California,49385,17002,227,28,,128746,93,203,34559,71368,69364,33060,,
2021-06-20,California,49403,16869,227,,1618423,129732,51,,34784,71869,69962,33474,,
2021-06-27,California,49412,16869,227,,1644511,130515,35,,34893,72314,70493,33255,,
2021-07-04,California,49420,16869,227,,1666934,1310952,31,,35003,72651,70932,33391,,
2021-07-11,California,49427,16869,229,,1690416,1317052,25,,35130,73655,71685,33572,,
2021-07-18,California,49440,16869,229,,1711619,1323572,31,,35308,74205,72087,33732,,
2021-07-25,California,49507,17486,232,,1739313,1331542,90,267,35438,74769,72350,33824,,
2021-08-01,California,49618,17660,235,,1765716,1335542,186,350,35402,75413,72563,33772,,
2021-08-08,California,49695,18028,235,,1798103,134503,195,527,35596,76128,73162,33930,,
2021-08-15,California,49737,18379,238,,1825770,135186,146,555,35794,76728,73748,34124,,
2021-08-22,California,49834,18785,238,,1856669,135675,155,623,36405,77140,74176,34746,,
2021-08-29,California,49904,19203,239,,1888545,136276,157,634,36873,77502,74639,35024,,
2021-09-05,California,49952,19576,240,,1916905,136735,144,691,37426,77503,74984,35391,,
2021-09-12,California,50578,19895,240,,194504317,32945,191,499,38332,77591,75318,36051,,
2020-03-22,Colorado,0,1,0,0,,,,,,,,,,
2020-03-29,Colorado,0,3,0,0,,17,,,,,,,,
2020-04-05,Colorado,1,6,0,0,,22,,,,,,,,
2020-04-12,Colorado,3,8,0,0,,27,,,,,,,,
2020-04-19,Colorado,139,9,0,0,,36,,,,,,,,
2020-04-26,Colorado,260,20,1,0,,518,,,,,,,,
2020-05-03,Colorado,360,25,1,0,,1067,,,,,,,,
2020-05-10,Colorado,480,29,2,0,,2723,,,,,,,,
2020-05-17,Colorado,486,35,2,,,3214,,,,,,,,
2020-05-24,Colorado,600,35,2,0,,3481,,,,,,,,
